"Source:","C:\Users\danie\Documents\Projekte\KT88-Amp\boards\Endstufe\Endstufe.sch"
"Date:","12.08.2021 22:05:22"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","61"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C5, C13, ","3","68pF / 500V","C","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","",""
"C2, C4, C8, C11, ","4","100nF/400V","C","Capacitor_THT:C_Axial_L22.0mm_D9.5mm_P27.50mm_Horizontal","",""
"C3, C10, ","2","100nF / 400V","C","Capacitor_THT:C_Axial_L22.0mm_D9.5mm_P27.50mm_Horizontal","",""
"C6, ","1","33pF / 500V","C","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","",""
"C7, ","1","100nF","C","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","",""
"C9, ","1","68pF / 500V","C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","",""
"C12, ","1","100pF / 500V","C","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","",""
"C14, C15, ","2","10µF / 100V","C_Small","Capacitor_THT:C_Radial_D6.3mm_H5.0mm_P2.50mm","",""
"D1, ","1","1N4001","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","50V 1A General Purpose Rectifier Diode, DO-41",""
"J1, ","1","HV In","Conn_01x06","Connector_TE-Connectivity:TE_MATE-N-LOK_1-770875-x_2x03_P4.14mm_Vertical","",""
"J2, ","1","Relais","Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","",""
"J3, ","1","Audio_In","Conn_01x03","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","Übertrager","Conn_01x04","Connector_TE-Connectivity:TE_MATE-N-LOK_350211-1_1x04_P5.08mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
